Algoritmo,Version,n,Ej1_ms,Ej2_ms,Ej3_ms,Ej4_ms,Ej5_ms,Promedio_ms
A1 - Factorial,Iterativo,5,0.497403,0.000684,0.000440,0.000393,0.000384,0.099861
A1 - Factorial,Recursivo,5,0.004861,0.001291,0.001280,0.001244,0.001228,0.001981
A1 - Factorial,Iterativo,10,0.001221,0.000644,0.000621,0.000593,0.000604,0.000737
A1 - Factorial,Recursivo,10,0.002625,0.002172,0.002131,0.002128,0.002017,0.002215
A1 - Factorial,Iterativo,15,0.001237,0.000689,0.000656,0.000626,0.000605,0.000763
A1 - Factorial,Recursivo,15,0.003005,0.004897,0.002882,0.002569,0.002534,0.003177
A1 - Factorial,Iterativo,20,0.001216,0.000694,0.000605,0.000596,0.000569,0.000736
A1 - Factorial,Recursivo,20,0.003776,0.003236,0.003347,0.027752,0.003662,0.008355
A2 - Fibonacci,Iterativo,5,0.590192,0.000672,0.000380,0.000362,0.000347,0.118391
A2 - Fibonacci,Recursivo,5,0.005282,0.001350,0.001326,0.001383,0.001272,0.002123
A2 - Fibonacci,Iterativo,10,0.001621,0.000911,0.000681,0.000659,0.000526,0.000880
A2 - Fibonacci,Recursivo,10,0.014350,0.016565,0.058787,0.015116,0.014862,0.023936
A2 - Fibonacci,Iterativo,15,0.001561,0.000862,0.027589,0.000685,0.000519,0.006243
A2 - Fibonacci,Recursivo,15,0.019663,0.019311,0.062683,0.015406,0.014886,0.026390
A2 - Fibonacci,Iterativo,20,0.001424,0.000649,0.000568,0.000592,0.000580,0.000763
A2 - Fibonacci,Recursivo,20,76.231111,0.159776,0.159201,0.108211,0.036934,15.339047
A2 - Fibonacci,Iterativo,25,0.001807,0.000752,0.000745,0.000762,0.000711,0.000955
A2 - Fibonacci,Recursivo,25,0.454433,0.403327,0.405852,0.403199,0.403199,0.414002
A2 - Fibonacci,Iterativo,30,0.001619,0.000786,0.000694,0.000710,0.000711,0.000904
A2 - Fibonacci,Recursivo,30,4.533104,4.526367,4.515627,4.492052,4.489088,4.511248
A3 - Busqueda Lineal,Iterativo,100,0.517989,0.001913,0.001653,0.001639,0.001722,0.104983
A3 - Busqueda Lineal,Recursivo,100,0.019928,0.009380,0.060426,0.010417,0.008151,0.021660
A3 - Busqueda Lineal,Iterativo,500,0.010731,0.010376,0.008272,0.008873,0.008262,0.009303
A3 - Busqueda Lineal,Recursivo,500,0.026553,0.005172,0.004806,0.004791,0.004762,0.009217
A3 - Busqueda Lineal,Iterativo,1000,0.018488,0.017007,0.016764,0.016728,0.017464,0.017290
A3 - Busqueda Lineal,Recursivo,1000,0.041079,0.008325,0.008016,0.009112,0.010458,0.015398
A3 - Busqueda Lineal,Iterativo,5000,0.073408,0.071768,0.073659,0.088050,0.072310,0.075839
A3 - Busqueda Lineal,Recursivo,5000,0.228585,0.040725,0.039200,0.039094,0.039085,0.077338
A3 - Busqueda Lineal,Iterativo,10000,0.145752,0.161027,0.179742,0.161717,0.146606,0.158969
A3 - Busqueda Lineal,Recursivo,10000,0.311680,0.082534,0.081712,0.081747,0.081006,0.127736
A4 - Burbuja,Iterativo,100,0.857451,0.188856,0.189321,0.189040,0.187897,0.322513
A4 - Burbuja,Recursivo,100,0.176001,0.214284,0.183441,0.091940,0.034299,0.139993
A4 - Burbuja,Iterativo,500,2.490150,0.869001,0.958625,1.124499,0.873619,1.263179
A4 - Burbuja,Recursivo,500,0.891049,0.850128,0.801118,0.785772,0.797789,0.825171
A4 - Burbuja,Iterativo,1000,1.027949,1.032320,1.027465,69.306227,1.198275,14.718447
A4 - Burbuja,Recursivo,1000,3.585675,5.774355,5.513212,1.540001,1.045037,3.491656
A4 - Burbuja,Iterativo,5000,26.126366,71.741253,26.133992,26.161652,34.720573,36.976767
A4 - Burbuja,Recursivo,5000,28.406643,28.420527,48.563791,28.652296,28.318920,32.472435
A4 - Burbuja,Iterativo,10000,158.407984,138.543955,141.222978,136.747380,138.011064,142.586672
A4 - Burbuja,Recursivo,10000,143.016921,134.636784,142.952210,134.083541,134.044616,137.746814
